rank,ticker,name,current_price,change_pct,volume,avg_volume_20d,volume_surge_ratio,high_52w,low_52w,rsi,news_count,price_change_score,volume_surge_score,news_score,rsi_score,total_score
1,8058.T,三菱商事,5059.0,4.09,13744800,6985725,1.97,5882.0,3276.29,64.3,2,100.0,100.0,25.0,90.02499999999999,87.25
2,8306.T,三菱UFJフィナンシャル・グループ,3754.0,1.9,53076600,35568185,1.49,3799.0,2127.6,55.59,5,70.80000000000001,64.70588235294117,62.5,74.7825,68.32
3,9984.T,ソフトバンクグループ,5001.0,1.56,34349100,34553085,0.99,8632.0,3502.11,32.9,8,66.26666666666668,27.941176470588236,100.0,35.074999999999996,55.15
4,7203.T,トヨタ自動車,3117.0,-0.51,22107500,23717870,0.93,3886.14,2686.0,57.47,4,38.66666666666667,23.52941176470589,50.0,78.07249999999999,41.74
5,6758.T,ソニーグループ,3895.0,-0.64,13172700,14901440,0.88,4681.69,3113.0,48.91,5,36.93333333333334,19.852941176470594,62.5,63.092499999999994,39.57
6,4519.T,中外製薬,6878.0,0.67,2283900,2287550,1.0,10362.18,6121.29,47.43,0,54.400000000000006,28.676470588235297,0.0,60.5025,39.44
7,6098.T,リクルートホールディングス,16435.0,0.49,4013600,4371605,0.92,18215.0,6102.28,49.83,0,52.0,22.79411764705883,0.0,64.7025,37.34
8,8035.T,東京エレクトロン,53300.0,0.36,2785400,2859425,0.97,78800.0,19563.7,27.53,1,50.26666666666667,26.47058823529412,12.5,27.53,34.05
9,6861.T,キーエンス,77980.0,-0.05,563300,540650,1.04,87660.0,52028.46,26.71,1,44.800000000000004,31.617647058823533,12.5,26.71,33.29
10,6501.T,日立製作所,5352.0,0.32,7544400,10464035,0.72,5784.69,3784.85,35.58,2,49.733333333333334,8.088235294117647,25.0,39.765,32.03
11,9432.T,日本電信電話(NTT),173.2,-1.14,206699600,241944000,0.85,175.6,142.8,71.26,0,30.266666666666676,17.647058823529413,0.0,94.95999999999998,31.64
12,7974.T,任天堂,8855.0,0.39,6128100,10057585,0.61,13921.36,6589.0,48.79,0,50.66666666666667,0.0,0.0,62.8825,29.7
13,6367.T,ダイキン工業,20820.0,0.24,776200,1165270,0.67,26150.0,16864.46,41.25,0,48.66666666666667,4.411764705882358,0.0,49.6875,28.24
14,4063.T,信越化学工業,5859.0,-0.19,4829400,5675270,0.85,7806.0,4316.82,17.65,0,42.93333333333334,17.647058823529413,0.0,17.65,25.11
15,9983.T,ファーストリテイリング,68000.0,-3.41,1415000,936105,1.51,87506.82,44398.68,18.44,1,0.0,66.1764705882353,12.5,18.44,24.49
